Pack Name,Release Date,Total TCG Score,Pack Score Average,Unlock Cards,Most Older Cards,Most Recent Cards
Exquisite Jet-Black Rose,2022-01-19,233066,5826.65,"Ruddy Rose Dragon, Black Rose Dragon, Black Rose Moonlight Dragon, Crossrose Dragon, Queen Angel of Roses, Garden Rose Flora, Garden Rose Maiden, Rose Lover, Basal Rose Shoot, Black Garden, Frozen Rose, Rose Bell of Revelation",Copy Plant,White Rose Cloister
Dragon Knight Gorge,2022-01-19,233260,5831.5,"Dragunity Arma Gram, Dragunity Knight - Areadbhair, Dragunity Knight - Ascalon, Dragon Ravine, Dragunity Knight - Gormfaobhar, Dragunity Knight - Gae Dearg, Dragunity Knight - Vajrayana, Dragunity Legatus, Dragunity Remus, Dragunity Divine Lance, Dragunity Whirlwind, Ice Dragon's Prison",Synchro Ejection,Dragunity Guisarme
Guardians of Fire,2022-01-19,221999,5842.078947368421,"Brotherhood of the Fire Fist - Cardinal, Brotherhood of the Fire Fist - Tiger King, Brotherhood of the Fire Fist - Rooster, Brotherhood of the Fire Fist - Eagle, Brotherhood of the Fire Fist - Swan, Brotherhood of the Fire Fist - Eland, Brotherhood of the Fire Fist - Horse Prince, Brotherhood of the Fire Fist - Bear, Brotherhood of the Fire Fist - Spirit, Brotherhood of the Fire Fist - Peacock, Fire Formation - Tenki, Fire Formation - Yoko",Ultimate Fire Formation - Seito,Fire Formation - Ingen
Timeworn Legacies,2022-01-19,164111,5861.107142857143,"Number 6: Chronomaly Atlandis, Chronomaly Vimana, Number 33: Chronomaly Machu Mech, Rank-Up-Magic Argent Chaos Force",Grave of the Super Ancient Organism,Chronomaly Esperanza Glyph
Traditions of Trickery,2022-01-19,217135,5868.513513513513,"Gizmek Okami, the Dreaded Deluge Dragon, Gizmek Kaku, the Supreme Shining Sky Stag, Karakuri Super Shogun mdl 00N ""Bureibu"", Gizmek Orochi, the Serpentron Sky Slasher, Karakuri Steel Shogun mdl 00X ""Bureido"", Gizmek Uka, the Festive Fox of Fecundity, Karakuri Shogun mdl 00 ""Burei"", Karakuri Bonze mdl 9763 ""Kunamzan"", Karakuri Komachi mdl 224 ""Ninishi"", Karakuri Merchant mdl 177 ""Inashichi"", Karakuri Cash Cache, Sacred Scrolls of the Gizmek Legend",Karakuri Klock,"Gizmek Inaba, the Hopping Hare of Hakuto"
Life Force Control System,2022-01-19,218807,5913.7027027027025,"Infernoid Tierra, Apoqliphort Towers, Infernoid Onuncu, Apoqliphort Skybase, Infernoid Devyaty, Qliphort Disk, Qliphort Scout, Qliphort Genius, Into the Void, Void Apocalypse, Void Imagination, Void Vanishment",Into the Void,Void Apocalypse
Life Finds a Way,2022-01-19,237765,5944.125,"Myutant Ultimus, Myutant Synthesis, Evolzar Dolkka, Evolzar Laggia, Myutant Arsenal, Myutant Beast, Evolzar Solda, Evolsaur Cerato, Myutant M-05, Evo-Diversity, Evo-Force, Evo-Singularity",Evo-Miracle,Myutant Clash
Nebula Cyclone,2022-01-19,238274,5956.85,"Galaxy-Eyes Full Armor Photon Dragon, Number 38: Hope Harbinger Dragon Titanic Galaxy, Number 62: Galaxy-Eyes Prime Photon Dragon, Number 90: Galaxy-Eyes Photon Lord, Galaxy-Eyes Solflare Dragon, Galaxy-Eyes Afterglow Dragon, Galaxy-Eyes Photon Dragon, Neo Galaxy-Eyes Photon Dragon, Galaxy Soldier, Galaxy Wizard, Photon Orbital, Starliege Photon Blast Dragon, Photon Sanctuary",Galaxy-Eyes Photon Dragon,Hyper Galaxy
Supernatural Elements,2022-01-19,238438,5960.95,"Ehther the Heavenly Monarch, Erebus the Underworld Monarch, Domain of the True Monarchs, Palace of the Elemental Lords, Caius the Mega Monarch, Grandsoil the Elemental Lord, Moulinglacia the Elemental Lord, Zaborg the Mega Monarch, Elementsaber Lapauila Mana, Pantheism of the Monarchs, Tenacity of the Monarchs, The Monarchs Stormforth",Kuraz the Light Monarch,Elementsaber Aina
Sword of the Seventh One,2022-01-19,286758,5974.125,"Number C107: Neo Galaxy-Eyes Tachyon Dragon, Number 107: Galaxy-Eyes Tachyon Dragon, Number C101: Silent Honor DARK, Number 101: Silent Honor ARK, Barian Untopia, Barian's Chaos Draw, Seventh Ascension, Rank-Up-Magic - The Seventh One, CXyz Barian Hope, Number C103: Ragnafinity, Number C106: Giant Red Hand, Number 103: Ragnazero, Number 106: Giant Hand, Thunder Hand, Contract with Don Thousand, Rank-Up-Magic Admiration of the Thousands, Rank-Up-Magic Barian's Force","Radius, the Half-Moon Dragon",Rebirth of the Seventh Emperors
Darkest Magics,2022-01-19,252225,6005.357142857143,"Dark Magician the Knight of Dragon Magic, The Dark Magicians, Dark Magician, Palladium Oracle Mahad, Magicians' Souls, Soul Servant, Dark Cavalry, Dark Magician the Dragon Knight, Apprentice Illusion Magician, Dark Magician Girl, Dark Magical Circle, Magician's Salvation, Piercing the Darkness, The Eye of Timaeus, Destined Rivals",Dark Magician,Chronicle Sorceress
Deceitful Wings of Darkness,2022-01-19,205164,6034.235294117647,"The First Darklord, Darklord Superbia, Dark Honest, Forbidden Droplet, Darklord Morningstar, Darklord Ixchel, Darklord Nasten, Darklord Amdusc, Condemned Darklord, Banishment of the Darklords, Forbidden Lance, Darklord Rebellion",Darklord Marie,Dark Honest
Impending Assassination,2022-01-19,241943,6048.575,"Meklord Astro Mekanikle, Meklord Astro Dragon Triskelion, Sandaion, the Timelord, Sephylon, the Ultimate Timelord, Timelord Progenitor Vorpgate, Meklord Emperor Granel, Meklord Emperor Skiel, Meklord Emperor Wisel, Meklord Emperor Wisel - Synchro Absorption, Meklord Nucleus Infinity Core, Time Maiden, Meklord Fortress",Mektimed Blast,Meklord Astro the Eradicator
Magnificence of Angels,2022-01-19,230885,6075.921052631579,"Valkyrie Sigrun, Archlord Kristya, Honest, Ride of the Valkyries, Splendid Venus, Valkyrie Erda, Athena, Hecatrice, Valkyrie Dritte, Valkyrie Sechste, Mischief of the Time Goddess, Valhalla, Hall of the Fallen, Angel Statue - Azurune",Gellenduo,Angel O1
Rapid Aircraft Advancement,2022-01-19,249428,6083.609756097561,"Machina Ruinforce, Machina Citadel, Machina Fortress, Mecha Phantom Beast Dracossack, Mecha Phantom Beast Auroradon, Machina Metalcruncher, Phantom Fortress Enterblathnir, Machina Air Raider, Machina Unclaspare, Mecha Phantom Beast O-Lion, Machina Redeployment, Unauthorized Reactivation, Aerial Recharge",Machina Peacekeeper,Machina Ruinforce
Futuristic Creatures,2022-01-19,237839,6098.4358974358975,"T.G. Glaive Blaster, T.G. Halberd Cannon/Assault Mode, Shooting Star Dragon T.G. EX, T.G. Hyper Librarian, T.G. Rocket Salamander, T.G. Halberd Cannon, T.G. Blade Blaster, T.G. Over Dragonar, T.G. Wonder Magician, T.G. Warwolf, T.G. Mighty Striker, T.G. Striker, T.G. Trident Launcher, T.G. Limiter Removal, T.G. Close",Tuner Capture,T.G. All Clear
Abyssal Underworld,2022-01-19,245138,6128.45,"Doomking Balerdroch, Uni-Zombie, Avendread Savior, Zombie World, Revendread Executor, Vendread Battlelord, Vendread Chimera, Necroworld Banshee, Glow-Up Bloom, King of the Skull Servants, Wightbaking, Zombie Necronize",Skull Servant,Wightbaking
Immovable Samurai,2022-01-19,247345,6183.625,"Superheavy Samurai Steam Train King, Superheavy Samurai Warlord Susanowo, Superheavy Samurai Beast Kyubi, Superheavy Samurai Swordmaster Musashi, Superheavy Samurai Big Benkei, Superheavy Samurai Stealth Ninja, Superheavy Samurai Ogre Shutendoji, Superheavy Samurai Wagon, Superheavy Samurai Battleball, Superheavy Samurai Scarecrow, Superheavy Samurai Ninja Sarutobi, Superheavy Samurai Scales",Superheavy Samurai Swordsman,Superheavy Samurai Scarecrow
Advanced Warriors,2022-01-19,247828,6195.7,"Dinoster Power, the Mighty Dracoslayer, Ignister Prominence, the Blasting Dracoslayer, Master Peace, the True Dracoslayer, Majester Paladin, the Ascending Dracoslayer, Amorphage Goliath, Amorphactor Pain, the Imagination Dracoverlord, Igknight Champion, Dinomist Rex, Luster Pendulum, the Dracoslayer, Draco Face-Off, Igknights Unite, Dinomists Howling",Igknight Crusader,Dinomists Howling
Insect Metamorphosis,2022-01-19,254047,6196.268292682927,"Inzektor Exa-Beetle, Digital Bug Registrider, Inzektor Dragonfly, Cocoon of Ultra Evolution, Battlewasp - Ballista the Armageddon, Battlewasp - Hama the Conquering Bow, Metamorphosed Insect Queen, Inzektor Giga-Mantis, Inzektor Hornet, Seraphim Papillion, Inzektor Picofalena, Zektrike Kou-ou, Inzektor Sword - Zektkaliber",Variable Form,Zektrike Kou-ou
Pyroxene Relinquished,2022-01-19,242785,6225.25641025641,"Gem-Knight Lady Brilliant Diamond, Gem-Knight Master Diamond, Adamancipator Risen - Dragite, Brilliant Fusion, Gem-Knight Citrine, Gem-Knight Prismaura, Adamancipator Risen - Leonite, Adamancipator Risen - Raptite, Gem-Knight Seraphinite, Adamancipator Researcher, Gem-Knight Phantom Quartz, Adamancipator Signs",Gem-Enhancement,Adamancipator Friends
Forest Friends,2022-01-19,180758,6233.0344827586205,"Rescue Cat, Rescue Rabbit, Joyous Melffys, Melffy of the Forest, Green Baboon, Defender of the Forest, Aloof Lupine, Diamond Dire Wolf, Kittytail, Mystical Beast of the Forest, Melffy Wally, Kalantosa, Mystical Beast of the Forest, Melffy Mommy, Valerifawn, Mystical Beast of the Forest, Melffy Staring Contest, Ayers Rock Sunrise, Closed Forest",Rescue Cat,"Kittytail, Mystical Beast of the Forest"
Mother Nature's Snare,2022-01-19,280749,6238.866666666667,"Traptrix Pinguicula, Traptrix Allomerus, Traptrix Rafflesia, Traptrix Atypus, Traptrix Cularia, Traptrix Sera, Traptantalizing Tune, Trap Tracks, Traptrix Pudica, Traptrix Genlisea, Traptrix Myrmeleo, Traptrix Vesiculo, Traptrip Garden, Boogie Trap, Banishing Trap Hole, Terrifying Trap Hole Nightmare, Traptrix Holeutea, Chain Hole, Gravedigger's Trap Hole, Trap Trick",Trap Hole,Banishing Trap Hole
Inevitability of Chaos,2022-01-19,319397,6262.686274509804,"Chaos Angel, Black Luster Soldier - Legendary Swordsman, Black Luster Soldier - Envoy of the Beginning, Black Luster Soldier - Sacred Soldier, Chaos Witch, Black Luster Soldier - Soldier of Chaos, Chaos Emperor, the Dragon of Armageddon, Chaos Archfiend, Chaos Nephthys, Black Luster Soldier - Super Soldier, The Chaos Creator, Charging Gaia the Fierce Knight, Chaos Mirage Dragon, Chaos Valkyria, Chaos Space, Gateway to Chaos, Chaos Phantasm, Super Soldier Shield",Black Luster Ritual,Chaos Angel
Enchanted Threads of Shade,2022-01-19,264236,6291.333333333333,"Zefraath, El Shaddoll Construct, El Shaddoll Construct, El Shaddoll Apkallone, El Shaddoll Winda, El Shaddoll Winda, Zefra Metaltron, El Shaddoll Shekhinaga, El Shaddoll Grysta, Reeshaddoll Wendi, El Shaddoll Fusion, Oracle of Zefra, Shaddoll Fusion, Zefra Providence, Shaddoll Schism, Zefra Divine Strike",Shaddoll Core,Nehshaddoll Genius
Roused from Destruction,2022-01-19,251863,6296.575,"Fire King High Avatar Garunix, Unchained Abomination, Nephthys, the Sacred Flame, Onslaught of the Fire Kings, Abominable Unchained Soul, Cerulean Sacred Phoenix of Nephthys, Unchained Soul of Disaster, Fire King Avatar Yaksha, Conductor of Nephthys, Unchained Soul of Anguish, Unchained Soul of Rage, Circle of the Fire Kings",A Feather of the Phoenix,Conductor of Nephthys
Fiendish Encounter,2022-01-19,227689,6324.694444444444,"Beatrice, Lady of the Eternal, Dante, Traveler of the Burning Abyss, Cherubini, Ebon Angel of the Burning Abyss, Magical Musketeer Max, Dante, Pilgrim of the Burning Abyss, Magical Musket Mastermind Zakiel, Magical Musketeer Starfire, Farfa, Malebranche of the Burning Abyss, Graff, Malebranche of the Burning Abyss, Magical Musketeer Caspar, Scarm, Malebranche of the Burning Abyss, Magical Musket - Cross-Domination",The Traveler and the Burning Abyss,Magical Musketeer Max
Savage Crimson Dragon,2022-01-19,328939,6325.75,"Hot Red Dragon Archfiend King Calamity, Red Nova Dragon, Red Supernova Dragon, Tyrant Red Dragon Archfiend, Hot Red Dragon Archfiend Abyss, Scarred Dragon Archfiend, Vision Resonator, Crimson Gaia, Hot Red Dragon Archfiend Bane, Hot Red Dragon Archfiend, Red Dragon Archfiend, Scarlight Red Dragon Archfiend, Red Rising Dragon, Shining Star Dragon, Bone Archfiend, Red Sprinter, Soul Resonator, Resonator Call, Red Zone, Red Reign",Dark Resonator,"Red Lotus King, Flame Crime"
Rulers of the Deep,2022-01-19,253672,6341.8,"White Aura Bihamut, Deep Sea Prima Donna, Superancient Deepsea King Coelacanth, The Legendary Fisherman III, White Aura Whale, Citadel Whale, Deep Sea Repetiteur, Deep Sea Diva, Beautunaful Princess, Deep Sea Aria, Fury of Kairyu-Shin, White Howling",Torrential Tribute,Deep Sea Repetiteur
Fiendish Playthings,2022-01-19,171444,6349.777777777777,,Toy Vendor,Frightfur Jar
The Azure in the Ivory,2022-01-19,312201,6371.448979591837,"Blue-Eyes Spirit Dragon, Blue-Eyes Jet Dragon, Blue-Eyes Abyss Dragon, Blue-Eyes Alternative White Dragon, Blue-Eyes Chaos MAX Dragon, Bingo Machine, Go!!!, Neo Blue-Eyes Ultimate Dragon, Blue-Eyes Twin Burst Dragon, Deep-Eyes White Dragon, Azure-Eyes Silver Dragon, Blue-Eyes Tyrant Dragon, Dragon Spirit of White, Kaiser Glider - Golden Burst, Dictator of D., Sage with Eyes of Blue, The White Stone of Ancients, Greater Polymerization, Destined Rivals, True Light",White Dragon Ritual,Chronicle Sorceress
Piercing Winds,2022-01-19,267630,6372.142857142857,"Mayosenju Daibak, Mist Valley Apex Avian, Simorgh, Bird of Sovereignty, Simorgh Onslaught, Mayosenju Hitot, Simorgh of Darkness, Simorgh, Lord of the Storm, Dark Simorgh, Simorgh, Bird of Bringing, Divine Wind of Mist Valley, Yosenju Oroshi Channeling, Yosenjus' Secret Move","Simorgh, Bird of Divinity",Laughing Puffin
Gods of Abyss and Arcadia,2022-01-19,211279,6402.393939393939,"Ogdoabyss, the Ogdoadic Overlord, Hieratic Seal of the Heavenly Spheres, Hieratic Seal of Convocation, Ogdoadic Water Lily, Aron, the Ogdoadic King, Hieratic Sky Dragon Overlord of Heliopolis, Hieratic Sun Dragon Overlord of Heliopolis, Hieratic Dragon King of Atum, Nauya, the Ogdoadic Remnant, Nunu, the Ogdoadic Remnant, Hieratic Seal of Creation",Hieratic Seal of Supremacy,Ogdoadic Hollow
A Song of Zephyr and Petals,2022-01-19,224733,6420.942857142857,"Windwitch - Diamond Bell, Bloom Diva the Melodious Choir, Windwitch - Ice Bell, Ostinato, Bloom Prima the Melodious Choir, Windwitch - Winter Bell, Windwitch - Glass Bell, Bloom Harmonist the Melodious Composer, 1st Movement Solo, Windwitch Chimes",Fairy Wind,Icy Breeze Refrain
Cross-Dimensional Contracts,2022-01-19,258153,6453.825,"D/D/D Gust High King Alexander, D/D/D Wave Oblivion King Caesar Ragnarok, D/D/D Cursed King Siegfried, D/D/D Duo-Dawn King Kali Yuga, D/D/D Flame High King Genghis, D/D/D Oblivion King Abyss Ragnarok, D/D/D Dragonbane King Beowulf, D/D/D Rebel King Leonidas, D/D/D Flame King Genghis, D/D/D Wave King Caesar, D/D Swirl Slime, D/D/D Abyss King Gilgamesh, Dark Contract with the Gate",D/D/D Oracle King d'Arc,D/D/D Abyss King Gilgamesh
Miraculous Advent,2022-01-19,259083,6477.075,"Herald of Ultimateness, Demise, Supreme King of Armageddon, Ruin, Supreme Queen of Oblivion, Sauravis, the Ancient and Ascended, Diviner of the Herald, Crealtar, the Impcantation Originator, Megalith Aratron, Impcantation Chalislime, Herald of Perfection, Saffira, Queen of Dragons, Herald of the Arc Light, Advanced Ritual Art, Pre-Preparation of Rites, Preparation of Rites",Manju of the Ten Thousand Hands,Diviner of the Herald
Counterswing Mages,2022-01-19,259133,6478.325,"Supreme King Z-ARC, Odd-Eyes Pendulum Dragon, Astrograph Sorcerer, Performapal Celestial Magician, Timestar Magician, Rune-Eyes Pendulum Dragon, Chronograph Sorcerer, Black Fang Magician, Double Iris Magician, Wisdom-Eye Magician, Purple Poison Magician, White Wing Magician, Duelist Alliance, Pendulum Call",Timegazer Magician,Magician of Hope
Immortal Royalty,2022-01-19,265958,6486.780487804878,"Eldlich the Golden Lord, Eldlich the Golden Lord, Eldlich the Mad Golden Lord, Vampire Voivode, Dhampir Vampire Sheridan, Crimson Knight Vampire Bram, Vampire Fraulein, Vampire Sucker, Cursed Eldland, Eldlixir of Black Awakening, Eldlixir of Scarlet Sanguine, Golden Land Forever!, Vampire Awakening, Vampire Domination",Vampire Lord,Vampire Voivode
Beloved Dolls,2022-01-19,299399,6508.673913043478,"Number 22: Zombiestein, Madolche Queen Tiarafraise, Madolche Puddingcess Chocolat-a-la-Mode, Madolche Queen Tiaramisu, Madolche Teacher Glassouffle, Toy Box, Madolche Puddingcess, Toy Soldier, Toy Tank, Madolche Anjelly, Madolche Magileine, Madolche Messengelato, Madolche Petingcessoeur, Princess Cologne, Madolche Hootcake, Madolche Mini Meowcaroons, Doll Happiness",Madolche Waltz,Madolche Dessert
Champions of Hope,2022-01-19,195716,6523.866666666667,"Number 99: Utopia Dragonar, Number S39: Utopia the Lightning, Ultimate Dragonic Utopia Ray, Number 39: Utopia, Number F0: Utopic Draco Future, Zexal Construction, ZW - Dragonic Halberd, Number 39: Utopia Double, ZS - Utopic Sage, Number F0: Utopic Future, Number F0: Utopic Future Slash, Hyper Rank-Up-Magic Utopiforce, Rank-Up-Magic Zexal Force, Xyz Change Tactics, Halfway to Forever",Number 39: Utopia,Hyper Rank-Up-Magic Utopiforce
Captivating Curtain Call,2022-01-19,260973,6524.325,"Performapal Sky Magician, Performapal Sleight Hand Magician, Performapal Pendulum Sorcerer, Performapal Gatlinghoul, Performapal Odd-Eyes Metal Claw, Performapal King Bear, Performapal Skullcrobat Joker, Performapal Longphone Bull, Performapal Kuribohble, Performapal Dramatic Theater",Performapal Whip Snake,Smile Potion
Guided by the Noble Blade,2022-01-19,261580,6539.5,"Infernoble Knight Emperor Charles, Ignoble Knight of High Laundsallyn, Sacred Noble Knight of King Artorigus, Sacred Noble Knight of King Custennin, Isolde, Two Tales of the Noble Knights, Infernoble Knight Captain Oliver, Artorigus, King of the Noble Knights, Infernoble Knight Ogier, Noble Knight Borz, Noble Knight Drystan, Noble Knight Medraut, Morgan, the Enchantress of Avalon, Infernoble Knight - Renaud, Heritage of the Chalice",Noble Knight Gawayn,Infernoble Knight Captain Oliver
Blooming in Adversity,2022-01-19,261804,6545.1,"Teardrop the Rikka Queen, Aromaseraphy Sweet Marjoram, Rikka Queen Strenna, Aromaseraphy Jasmine, Tytannial, Princess of Camellias, Mudan the Rikka Fairy, Aromaseraphy Rosemary, Staysailor Romarin, Lonefire Blossom, Aromage Jasmine, Aroma Gardening, Rikka Glamour",Lonefire Blossom,Staysailor Romarin
Colossal Mech,2022-01-19,314231,6546.479166666667,"CXyz Gimmick Puppet Fanatix Machinix, Gimmick Puppet Fantasix Machinix, Number 15: Gimmick Puppet Giant Grinder, Number 88: Gimmick Puppet of Leo, Gimmick Puppet Little Soldiers, Gimmick Puppet Chimera Doll, Rank-Up-Magic Argent Chaos Force, Number 9: Dyson Sphere, Number C15: Gimmick Puppet Giant Hunter, Number C40: Gimmick Puppet of Dark Strings, Number C88: Gimmick Puppet Disaster Leo, Gimmick Puppet Rouge Doll, Gimmick Puppet Bisque Doll, Number 40: Gimmick Puppet of Strings, Gimmick Puppet Gigantes Doll, Amphibious Swarmship Amblowhale, Mansion of the Dreadful Dolls, Marshalling Field",Tannhauser Gate,Gimmick Puppet Fiendish Knight
Warp-Speed Toys,2022-01-19,262323,6558.075,"Crystal Wing Synchro Dragon, Clear Wing Fast Dragon, Clear Wing Synchro Dragon, Hi-Speedroid Chanbara, Hi-Speedroid Kitedrake, Hi-Speedroid Hagoita, Hi-Speedroid Puzzle, Speedroid CarTurbo, Speedroid Terrortop, Hi-Speedroid Rubber Band Shooter, Speed Recovery, Speedlift",Clear Wing Synchro Dragon,Pendulum Transfer
Secret Fighters,2022-01-19,137935,6568.333333333333,,Super Quantal Mech Sword - Magnaslayer,Super Quantal Union - Magnaformation
Dragon Spirit,2022-01-19,263697,6592.425,"Chaofeng, Phantom of the Yang Zing, Draco Berserker of the Tenyi, Denglong, First of the Yang Zing, Draco Masters of the Tenyi, Baxia, Brightness of the Yang Zing, Yazi, Evil of the Yang Zing, Jiaotu, Darkness of the Yang Zing, Tenyi Spirit - Sahasrara, Shaman of the Tenyi, Vessel for the Dragon Cycle, Nine Pillars of Yang Zing, Waterfall of Dragon Souls",Yang Zing Unleashed,Dracoon Lamp
Number Recall,2022-01-19,258065,6617.051282051282,"Number iC1000: Numerounius Numerounia, Number C1000: Numerounius, Astral Kuriboh, Number 100: Numeron Dragon, Numbers Eveil, Numeron Network, Number 99: Utopic Dragon, Number 68: Sanaphond the Sky Prison, Number 11: Big Eye, Number 41: Bagooska the Terribly Tired Tapir, Number 60: Dugares the Timeless, Number C1: Numeron Chaos Gate Sunya, Numeron Wall, Rank-Up-Magic Astral Force",Number 20: Giga-Brilliant,Numbers Eveil
Invulnerable Iron Wings,2022-01-19,113169,6657.0,"Raidraptor - Final Fortress Falcon, Raidraptor - Ultimate Falcon, Raidraptor - Arsenal Falcon, Raidraptor - Revolution Falcon - Air Raid, Raidraptor - Wise Strix",Raidraptor - Nest,Raidraptor - Strangle Lanius
Draconic Resplendence,2022-01-19,266867,6671.675,"Odd-Eyes Revolution Dragon, All-Eyes Phantom Dragon, Odd-Eyes Arc Pendulum Dragon, Odd-Eyes Pendulum Dragon, Sky Iris, Odd-Eyes Venom Dragon, Odd-Eyes Phantasma Dragon, Rune-Eyes Pendulum Dragon, Odd-Eyes Phantom Dragon, Odd-Eyes Raging Dragon, Performapal Skullcrobat Joker, Odd-Eyes Fusion, Spiral Flame Strike",Odd-Eyes Dragon,Odd-Eyes Wing Dragon
Dreadnought Advance,2022-01-19,267180,6679.5,"Superdreadnought Rail Cannon Juggernaut Liebe, Number 81: Superdreadnought Rail Cannon Super Dora, Superdreadnought Rail Cannon Gustav Max, Infinitrack Fortress Megaclops, Night Express Knight, Infinitrack Earth Slicer, Infinitrack River Stormer, Flying Pegasus Railroad Stampede, Number 27: Dreadnought Dreadnoid, Revolving Switchyard, Urgent Schedule, Barrage Blast",Jumbo Drill,Heavy Forward
Those who Stand Against Kings,2022-01-19,274925,6705.487804878048,"Crystron Quariongandrax, Zoodiac Drident, Heavymetalfoes Electrumite, Zoodiac Barrage, Metalfoes Vanisher, Crystron Phoenix, Parametalfoes Azortless, Crystron Sulfefnir, Zoodiac Ratpier, Zoodiac Thoroughblade, Crystron Citree, Fullmetalfoes Alkahest, Metalfoes Fusion",Metalfoes Counter,Parametalfoes Fusion
Tournament Athletes,2022-01-19,248780,6723.783783783784,"U.A. Player Manager, U.A. Playmaker, F.A. Dawn Dragster, F.A. Shining Star GT, F.A. Motorhome Transport, F.A. Dark Dragster, U.A. Libero Spiker, U.A. Midfielder, F.A. Auto Navigator, U.A. Hyper Stadium, U.A. Locker Room",U.A. Stadium,U.A. Man of the Match
Natural Selection,2022-01-19,270605,6765.125,"Crimson Nova Trinity the Dark Cubic Lord, Crimson Nova the Dark Cubic Lord, Predaplant Chimerafflesia, Predaplant Verte Anaconda, Greedy Venom Fusion Dragon, Predaplant Triphyoverutum, Predaplant Dragostapelia, Starving Venom Fusion Dragon, Duza the Meteor Cubic Vessel, Predaplant Ophrys Scorpio, Cubic Dharma, Cubic Karma",Cubic Rebirth,Cubic Causality
Seedling Soul Fey,2022-01-19,279200,6809.756097560976,"Alsei, the Sylvan High Protector, Sunavalon Dryatrentiay, Sunavalon Melias, Sylvan Dancepione, Sylvan Charity, Orea, the Sylvan High Arbiter, Meliae of the Trees, Sylvan Princessprite, Benghalancer the Resurgent, Sunavalon Dryanome, Sunavalon Daphne, Sunvine Thrasher, Mount Sylvania",Meliae of the Trees,Sylvan Dancepione
Indomitable Knights,2022-01-19,286160,6813.333333333333,"Odd-Eyes Rebellion Xyz Dragon, Odd-Eyes Rebellion Dragon Overlord, Odd-Eyes Pendulum Dragon, Arc Rebellion Xyz Dragon, Dark Requiem Xyz Dragon, Dark Rebellion Xyz Dragon, The Phantom Knights of Rusty Bardiche, Supreme King Dragon Starving Venom, Raider's Knight, The Phantom Knights of Ancient Cloak, The Phantom Knights of Break Sword, The Phantom Knights of Silent Boots, Phantom Knights' Rank-Up-Magic Force, Raidraptor's Phantom Knights Claw, The Phantom Knights of Shade Brigandine",Odd-Eyes Pendulum Dragon,Odd-Eyes Rebellion Xyz Dragon
Emerging Monstrosity Recon!,2022-01-19,212989,6870.612903225807,"Danger! Bigfoot!, Dogoran, the Mad Flame Kaiju, Interrupted Kaiju Slumber, Super Anti-Kaiju War Machine Mecha-Thunder-King, Gameciel, the Sea Turtle Kaiju, Danger! Nessie!, Kumongous, the Sticky String Kaiju, Pendransaction, Danger!? Jackalope?, Danger!? Tsuchinoko?",Kyoutou Waterfront,Danger! Disturbance! Disorder!
Cosmic Mechanical Entities,2022-01-19,278322,6958.05,"Knightmare Gryphon, Knightmare Unicorn, Knightmare Unicorn, Mekk-Knight Spectrum Supreme, Knightmare Goblin, X-Krawler Qualiark, Knightmare Mermaid, Mekk-Knight Purple Nightfall, Mekk-Knight Blue Sky, Knightmare Corruptor Iblee, Knightmare Cerberus, Knightmare Phoenix, Mekk-Knight of the Morning Star, X-Krawler Neurogos, X-Krawler Synaphysis",Krawler Receptor,Crusadia Krawler
Fires of This World and The Next,2022-01-19,223149,6973.40625,"Shiranui Sunsaga, Yoko, the Graceful Mayakashi, Yuki-Onna, the Absolute Zero Mayakashi, Shiranui Skillsaga Supremacy","Goka, the Pyre of Malice",Mayakashi Mayhem
Moonlit Avian Dance,2022-01-19,161182,7007.913043478261,"Lunalight Leo Dancer, Lunalight Sabre Dancer, Lyrilusc - Ensemblue Robin, Lyrilusc - Recital Starling, Lunalight Panther Dancer, Lunalight Tiger, Lyrilusc - Assembled Nightingale, Lyrilusc - Celestine Wagtail, Lyrilusc - Independent Nightingale, Lyrilusc - Promenade Thrush, Lunalight Fusion, Lyrilusc - Bird Call",Lunalight Reincarnation Dance,Lyrilusc - Bird Strike
Primordial Rising,2022-01-19,281582,7039.55,"Triamid Sphinx, Fossil Warrior Skull King, Paleozoic Cambroraster, Fossil Fusion, Fossil Dragon Skullgios, Fossil Machine Skull Convoy, Fossil Warrior Skull Knight, Fossil Dyna Pachycephalo, Doki Doki, Paleozoic Anomalocaris, Paleozoic Opabinia, Time Stream",Fossil Dyna Pachycephalo,Flint Cragger
Interdimensional Interlopers,2022-01-19,282007,7050.175,"Archnemeses Protos, Metaphys Executor, Oneiros, the Dream Mirror Erlking, Oneiros, the Dream Mirror Tormentor, Dream Mirror Hypnagogia, Archnemeses Eschatos, Metaphys Horus, Metaphys Ragnarok, Ikelos, the Dream Mirror Mara, Ikelos, the Dream Mirror Sprite, Asymmetaphys, Dream Mirror of Joy, Dream Mirror of Terror",Shadow-Imprisoning Mirror,Dream Mirror Recap
The Darkness Amuses,2022-01-19,285521,7138.025,"Abyss Actor - Evil Heel, Abyss Actor - Superstar, Abyss Actor - Mellow Madonna, Amazement Administrator Arlekino, Abyss Actor - Leading Lady, Abyss Actor - Wild Hope, Amazement Attendant Comica, Abyss Actor - Hyper Director, Abyss Playhouse - Fantastic Theater, Abyss Script - Rise of the Abyss King, Amazing Time Ticket, Amaze Attraction Cyclo-Coaster",Jester Lord,Amaze Attraction Viking Vortex
