Pack Name,Release Date,Total OCG Score,Pack Score Average,Unlock Cards,Most Older Cards,Most Recent Cards
Timeworn Legacies,2022-01-19,124909,5677.68,"Number C6: Chronomaly Chaos Atlandis, Chronomaly Nebra Disk, Number 36: Chronomaly Chateau Huyuk, Chronomaly Crystal Chrononaut, Chronomaly Crystal Skull, Chronomaly Technology, Piri Reis Map, Marshalling Field",Stonehenge Methods,Piri Reis Map
Mischievous Specters,2022-01-19,182344,5698.25,"Ghostrick Angel of Mischief, Ghostrick Alucard, Ghostrick Dullahan, Ghostrick Fairy, Ghostrick Lantern, Ghostrick Mary, Scapeghost, Ghostrick Mansion, Ghostrick Break, Ghostrick Renovation",Ghostrick Vanish,Jack-In-The-Hand
Shrouded Heroes,2022-01-19,241111,5740.74,"Destiny HERO - Dominance, Destiny HERO - Destroyer Phoenix Enforcer, Destiny HERO - Plasma, Vision HERO Trinity, Vision HERO Faris, Vision HERO Vyon, Destiny End Dragoon, Destiny HERO - Dogma, Destiny HERO - Dystopia, Vision HERO Adoration, Destiny HERO - Dangerous, Destiny HERO - Malicious, Xtra HERO Cross Crusader, D - Force, Destiny Draw, Break the Destiny",Clock Tower Prison,Destiny HERO - Denier
Traditions of Trickery,2022-01-19,213731,5776.51,"Gizmek Okami, the Dreaded Deluge Dragon, Gizmek Kaku, the Supreme Shining Sky Stag, Karakuri Super Shogun mdl 00N ""Bureibu"", Gizmek Orochi, the Serpentron Sky Slasher, Karakuri Steel Shogun mdl 00X ""Bureido"", Gizmek Uka, the Festive Fox of Fecundity, Karakuri Shogun mdl 00 ""Burei"", Karakuri Bonze mdl 9763 ""Kunamzan"", Karakuri Komachi mdl 224 ""Ninishi"", Karakuri Merchant mdl 177 ""Inashichi"", Karakuri Cash Cache, Sacred Scrolls of the Gizmek Legend",Karakuri Klock,"Gizmek Inaba, the Hopping Hare of Hakuto"
Nebula Cyclone,2022-01-19,232854,5821.35,"Galaxy-Eyes Full Armor Photon Dragon, Number 38: Hope Harbinger Dragon Titanic Galaxy, Number 62: Galaxy-Eyes Prime Photon Dragon, Number 90: Galaxy-Eyes Photon Lord, Galaxy-Eyes Solflare Dragon, Galaxy-Eyes Afterglow Dragon, Galaxy-Eyes Photon Dragon, Neo Galaxy-Eyes Photon Dragon, Galaxy Soldier, Galaxy Wizard, Photon Orbital, Starliege Photon Blast Dragon, Photon Sanctuary",Galaxy-Eyes Photon Dragon,Hyper Galaxy
Life Force Control System,2022-01-19,215653,5828.46,"Infernoid Tierra, Apoqliphort Towers, Infernoid Onuncu, Apoqliphort Skybase, Infernoid Devyaty, Qliphort Disk, Qliphort Scout, Qliphort Genius, Into the Void, Void Apocalypse, Void Imagination, Void Vanishment",Into the Void,Void Apocalypse
Guardians of Fire,2022-01-19,221552,5830.32,"Brotherhood of the Fire Fist - Cardinal, Brotherhood of the Fire Fist - Tiger King, Brotherhood of the Fire Fist - Rooster, Brotherhood of the Fire Fist - Eagle, Brotherhood of the Fire Fist - Swan, Brotherhood of the Fire Fist - Eland, Brotherhood of the Fire Fist - Horse Prince, Brotherhood of the Fire Fist - Bear, Brotherhood of the Fire Fist - Spirit, Brotherhood of the Fire Fist - Peacock, Fire Formation - Tenki, Fire Formation - Yoko",Brotherhood of the Fire Fist - Horse Prince,Brotherhood of the Fire Fist - Elephant
Sword of the Seventh One,2022-01-19,279958,5832.46,"Number C107: Neo Galaxy-Eyes Tachyon Dragon, Number 107: Galaxy-Eyes Tachyon Dragon, Number C101: Silent Honor DARK, Number 101: Silent Honor ARK, Barian Untopia, Barian's Chaos Draw, Seventh Ascension, Rank-Up-Magic - The Seventh One, CXyz Barian Hope, Number C103: Ragnafinity, Number C106: Giant Red Hand, Number 103: Ragnazero, Number 106: Giant Hand, Thunder Hand, Contract with Don Thousand, Rank-Up-Magic Admiration of the Thousands, Rank-Up-Magic Barian's Force",Number 106: Giant Hand,Barian Untopia
Supernatural Elements,2022-01-19,233676,5841.9,"Ehther the Heavenly Monarch, Erebus the Underworld Monarch, Domain of the True Monarchs, Palace of the Elemental Lords, Caius the Mega Monarch, Grandsoil the Elemental Lord, Moulinglacia the Elemental Lord, Zaborg the Mega Monarch, Elementsaber Lapauila Mana, Pantheism of the Monarchs, Tenacity of the Monarchs, The Monarchs Stormforth",Kuraz the Light Monarch,Elementsaber Aina
Forest Friends,2022-01-19,263864,5863.64,"Rescue Cat, Rescue Rabbit, Joyous Melffys, Melffy of the Forest, Green Baboon, Defender of the Forest, Aloof Lupine, Diamond Dire Wolf, Kittytail, Mystical Beast of the Forest, Melffy Wally, Kalantosa, Mystical Beast of the Forest, Melffy Mommy, Valerifawn, Mystical Beast of the Forest, Melffy Staring Contest, Ayers Rock Sunrise, Closed Forest",Nimble Momonga,"Kittytail, Mystical Beast of the Forest"
Deceitful Wings of Darkness,2022-01-19,200068,5884.35,"The First Darklord, Darklord Superbia, Dark Honest, Forbidden Droplet, Darklord Morningstar, Darklord Ixchel, Darklord Nasten, Darklord Amdusc, Condemned Darklord, Banishment of the Darklords, Forbidden Lance, Darklord Rebellion",Darklord Marie,Dark Honest
Impending Assassination,2022-01-19,191182,5974.44,"Meklord Astro Mekanikle, Meklord Astro Dragon Triskelion, Sandaion, the Timelord, Sephylon, the Ultimate Timelord",Meklord Astro Mekanikle,High Rate Draw
Rapid Aircraft Advancement,2022-01-19,246026,6000.63,"Machina Ruinforce, Machina Citadel, Machina Fortress, Mecha Phantom Beast Dracossack, Mecha Phantom Beast Auroradon, Machina Metalcruncher, Phantom Fortress Enterblathnir, Machina Air Raider, Machina Unclaspare, Mecha Phantom Beast O-Lion, Machina Redeployment, Unauthorized Reactivation, Aerial Recharge",Machina Peacekeeper,Machina Ruinforce
Futuristic Creatures,2022-01-19,234108,6002.77,"T.G. Glaive Blaster, T.G. Halberd Cannon/Assault Mode, Shooting Star Dragon T.G. EX, T.G. Hyper Librarian, T.G. Rocket Salamander, T.G. Halberd Cannon, T.G. Blade Blaster, T.G. Over Dragonar, T.G. Wonder Magician, T.G. Warwolf, T.G. Mighty Striker, T.G. Striker, T.G. Trident Launcher, T.G. Limiter Removal, T.G. Close",Tuner Capture,T.G. All Clear
Immovable Samurai,2022-01-19,240323,6008.07,"Superheavy Samurai Steam Train King, Superheavy Samurai Warlord Susanowo, Superheavy Samurai Beast Kyubi, Superheavy Samurai Swordmaster Musashi, Superheavy Samurai Big Benkei, Superheavy Samurai Stealth Ninja, Superheavy Samurai Ogre Shutendoji, Superheavy Samurai Wagon, Superheavy Samurai Battleball, Superheavy Samurai Scarecrow, Superheavy Samurai Ninja Sarutobi, Superheavy Samurai Scales",Superheavy Samurai Swordsman,Superheavy Samurai Scarecrow
Pyroxene Relinquished,2022-01-19,235015,6026.03,"Gem-Knight Lady Brilliant Diamond, Gem-Knight Master Diamond, Adamancipator Risen - Dragite, Brilliant Fusion, Gem-Knight Citrine, Gem-Knight Prismaura, Adamancipator Risen - Leonite, Adamancipator Risen - Raptite, Gem-Knight Seraphinite, Adamancipator Researcher, Gem-Knight Phantom Quartz, Adamancipator Signs",Gem-Enhancement,Adamancipator Friends
Inevitability of Chaos,2022-01-19,307730,6033.92,"Chaos Angel, Black Luster Soldier - Legendary Swordsman, Black Luster Soldier - Envoy of the Beginning, Black Luster Soldier - Sacred Soldier, Chaos Witch, Black Luster Soldier - Soldier of Chaos, Chaos Emperor, the Dragon of Armageddon, Chaos Archfiend, Chaos Nephthys, Black Luster Soldier - Super Soldier, The Chaos Creator, Charging Gaia the Fierce Knight, Chaos Mirage Dragon, Chaos Valkyria, Chaos Space, Gateway to Chaos, Chaos Phantasm, Super Soldier Shield",Black Luster Ritual,Chaos Angel
Life Finds a Way,2022-01-19,241713,6042.82,"Myutant Ultimus, Myutant Synthesis, Evolzar Dolkka, Evolzar Laggia, Myutant Arsenal, Myutant Beast, Evolzar Solda, Evolsaur Cerato, Myutant M-05, Evo-Diversity, Evo-Force, Evo-Singularity",Evo-Miracle,Myutant Clash
Cross-Dimensional Contracts,2022-01-19,243120,6078.0,"D/D/D Gust High King Alexander, D/D/D Wave Oblivion King Caesar Ragnarok, D/D/D Cursed King Siegfried, D/D/D Duo-Dawn King Kali Yuga, D/D/D Flame High King Genghis, D/D/D Oblivion King Abyss Ragnarok, D/D/D Dragonbane King Beowulf, D/D/D Rebel King Leonidas, D/D/D Flame King Genghis, D/D/D Wave King Caesar, D/D Swirl Slime, D/D/D Abyss King Gilgamesh, Dark Contract with the Gate",D/D/D Wave King Caesar,D/D/D Abyss King Gilgamesh
Advanced Warriors,2022-01-19,243561,6089.02,"Dinoster Power, the Mighty Dracoslayer, Ignister Prominence, the Blasting Dracoslayer, Master Peace, the True Dracoslayer, Majester Paladin, the Ascending Dracoslayer, Amorphage Goliath, Amorphactor Pain, the Imagination Dracoverlord, Igknight Champion, Dinomist Rex, Luster Pendulum, the Dracoslayer, Draco Face-Off, Igknights Unite, Dinomists Howling",Igknight Crusader,Dinomists Howling
Mother Nature's Snare,2022-01-19,274051,6090.02,"Traptrix Pinguicula, Traptrix Allomerus, Traptrix Rafflesia, Traptrix Atypus, Traptrix Cularia, Traptrix Sera, Traptantalizing Tune, Trap Tracks, Traptrix Pudica, Traptrix Genlisea, Traptrix Myrmeleo, Traptrix Vesiculo, Traptrip Garden, Boogie Trap, Banishing Trap Hole, Terrifying Trap Hole Nightmare, Traptrix Holeutea, Chain Hole, Gravedigger's Trap Hole, Trap Trick",Trap Hole,Banishing Trap Hole
Magnificence of Angels,2022-01-19,232317,6113.61,"Valkyrie Sigrun, Archlord Kristya, Honest, Ride of the Valkyries, Splendid Venus, Valkyrie Erda, Athena, Hecatrice, Valkyrie Dritte, Valkyrie Sechste, Mischief of the Time Goddess, Valhalla, Hall of the Fallen, Angel Statue - Azurune",Gellenduo,Angel O1
Insect Metamorphosis,2022-01-19,251163,6125.93,"Inzektor Exa-Beetle, Digital Bug Registrider, Inzektor Dragonfly, Cocoon of Ultra Evolution, Battlewasp - Ballista the Armageddon, Battlewasp - Hama the Conquering Bow, Metamorphosed Insect Queen, Inzektor Giga-Mantis, Inzektor Hornet, Seraphim Papillion, Inzektor Picofalena, Zektrike Kou-ou, Inzektor Sword - Zektkaliber",Variable Form,Zektrike Kou-ou
Rulers of the Deep,2022-01-19,245663,6141.57,"White Aura Bihamut, Deep Sea Prima Donna, Superancient Deepsea King Coelacanth, The Legendary Fisherman III, White Aura Whale, Citadel Whale, Deep Sea Repetiteur, Deep Sea Diva, Beautunaful Princess, Deep Sea Aria, Fury of Kairyu-Shin, White Howling",Torrential Tribute,Deep Sea Repetiteur
Abyssal Underworld,2022-01-19,245680,6142.0,"Doomking Balerdroch, Uni-Zombie, Avendread Savior, Zombie World, Revendread Executor, Vendread Battlelord, Vendread Chimera, Necroworld Banshee, Glow-Up Bloom, King of the Skull Servants, Wightbaking, Zombie Necronize",Skull Servant,Wightbaking
Enchanted Threads of Shade,2022-01-19,260092,6192.67,"Zefraath, El Shaddoll Construct, El Shaddoll Construct, El Shaddoll Apkallone, El Shaddoll Winda, El Shaddoll Winda, Zefra Metaltron, El Shaddoll Shekhinaga, El Shaddoll Grysta, Reeshaddoll Wendi, El Shaddoll Fusion, Oracle of Zefra, Shaddoll Fusion, Zefra Providence, Shaddoll Schism, Zefra Divine Strike",Shaddoll Core,Nehshaddoll Genius
The Azure in the Ivory,2022-01-19,303489,6193.65,"Blue-Eyes Spirit Dragon, Blue-Eyes Jet Dragon, Blue-Eyes Abyss Dragon, Blue-Eyes Alternative White Dragon, Blue-Eyes Chaos MAX Dragon, Bingo Machine, Go!!!, Neo Blue-Eyes Ultimate Dragon, Blue-Eyes Twin Burst Dragon, Deep-Eyes White Dragon, Azure-Eyes Silver Dragon, Blue-Eyes Tyrant Dragon, Dragon Spirit of White, Kaiser Glider - Golden Burst, Dictator of D., Sage with Eyes of Blue, The White Stone of Ancients, Greater Polymerization, Destined Rivals, True Light",Blue-Eyes Ultimate Dragon,Chronicle Sorceress
Piercing Winds,2022-01-19,260175,6194.64,"Mayosenju Daibak, Mist Valley Apex Avian, Simorgh, Bird of Sovereignty, Simorgh Onslaught, Mayosenju Hitot, Simorgh of Darkness, Simorgh, Lord of the Storm, Dark Simorgh, Simorgh, Bird of Bringing, Divine Wind of Mist Valley, Yosenju Oroshi Channeling, Yosenjus' Secret Move","Simorgh, Bird of Divinity",Laughing Puffin
Savage Crimson Dragon,2022-01-19,322440,6200.77,"Hot Red Dragon Archfiend King Calamity, Red Nova Dragon, Red Supernova Dragon, Tyrant Red Dragon Archfiend, Hot Red Dragon Archfiend Abyss, Scarred Dragon Archfiend, Vision Resonator, Crimson Gaia, Hot Red Dragon Archfiend Bane, Hot Red Dragon Archfiend, Red Dragon Archfiend, Scarlight Red Dragon Archfiend, Red Rising Dragon, Shining Star Dragon, Bone Archfiend, Red Sprinter, Soul Resonator, Resonator Call, Red Zone, Red Reign",Red Dragon Archfiend,Shining Star Dragon
Fiendish Playthings,2022-01-19,242812,6225.95,"Frightfur Chimera, Frightfur Kraken, Frightfur Bear, Frightfur Tiger, Dangerous Frightfur Nightmary, Frightfur Cruel Whale, Frightfur Daredevil, Frightfur Sabre-Tooth, Frightfur Leo, Frightfur Wolf, Frightfur Fusion, Frightfur Patchwork",Toy Vendor,Frightfur Jar
Captivating Curtain Call,2022-01-19,252275,6306.88,"Performapal Sky Magician, Performapal Sleight Hand Magician, Performapal Pendulum Sorcerer, Performapal Gatlinghoul, Performapal Odd-Eyes Metal Claw, Performapal King Bear, Performapal Skullcrobat Joker, Performapal Longphone Bull, Performapal Kuribohble, Performapal Dramatic Theater",Performapal Whip Snake,Smile Action
A Song of Zephyr and Petals,2022-01-19,220780,6308.0,"Windwitch - Diamond Bell, Bloom Diva the Melodious Choir, Windwitch - Ice Bell, Ostinato, Bloom Prima the Melodious Choir, Windwitch - Winter Bell, Windwitch - Glass Bell, Bloom Harmonist the Melodious Composer, 1st Movement Solo, Windwitch Chimes",Fairy Wind,Icy Breeze Refrain
Counterswing Mages,2022-01-19,252931,6323.27,"Supreme King Z-ARC, Odd-Eyes Pendulum Dragon, Astrograph Sorcerer, Performapal Celestial Magician, Timestar Magician, Rune-Eyes Pendulum Dragon, Chronograph Sorcerer, Black Fang Magician, Double Iris Magician, Wisdom-Eye Magician, Purple Poison Magician, White Wing Magician, Duelist Alliance, Pendulum Call",Timegazer Magician,Performapal Celestial Magician
Immortal Royalty,2022-01-19,260238,6347.27,"Eldlich the Golden Lord, Eldlich the Golden Lord, Eldlich the Mad Golden Lord, Vampire Voivode, Dhampir Vampire Sheridan, Crimson Knight Vampire Bram, Vampire Fraulein, Vampire Sucker, Cursed Eldland, Eldlixir of Black Awakening, Eldlixir of Scarlet Sanguine, Golden Land Forever!, Vampire Awakening, Vampire Domination",Vampire Lord,Vampire Voivode
Gods of Abyss and Arcadia,2022-01-19,209541,6349.73,"Ogdoabyss, the Ogdoadic Overlord, Hieratic Seal of the Heavenly Spheres, Hieratic Seal of Convocation, Ogdoadic Water Lily, Aron, the Ogdoadic King, Hieratic Sky Dragon Overlord of Heliopolis, Hieratic Sun Dragon Overlord of Heliopolis, Hieratic Dragon King of Atum, Nauya, the Ogdoadic Remnant, Nunu, the Ogdoadic Remnant, Hieratic Seal of Creation",Hieratic Seal of Supremacy,Ogdoadic Hollow
Beloved Dolls,2022-01-19,292262,6353.52,"Number 22: Zombiestein, Madolche Queen Tiarafraise, Madolche Puddingcess Chocolat-a-la-Mode, Madolche Queen Tiaramisu, Madolche Teacher Glassouffle, Toy Box, Madolche Puddingcess, Toy Soldier, Toy Tank, Madolche Anjelly, Madolche Magileine, Madolche Messengelato, Madolche Petingcessoeur, Princess Cologne, Madolche Hootcake, Madolche Mini Meowcaroons, Doll Happiness",Madolche Waltz,Madolche Dessert
Miraculous Advent,2022-01-19,255169,6379.23,"Herald of Ultimateness, Demise, Supreme King of Armageddon, Ruin, Supreme Queen of Oblivion, Sauravis, the Ancient and Ascended, Diviner of the Herald, Crealtar, the Impcantation Originator, Megalith Aratron, Impcantation Chalislime, Herald of Perfection, Saffira, Queen of Dragons, Herald of the Arc Light, Advanced Ritual Art, Pre-Preparation of Rites, Preparation of Rites",Manju of the Ten Thousand Hands,Breath of Acclamation
Champions of Hope,2022-01-19,255781,6394.52,"Number 99: Utopia Dragonar, Number S39: Utopia the Lightning, Ultimate Dragonic Utopia Ray, Number 39: Utopia, Number F0: Utopic Draco Future, Zexal Construction, ZW - Dragonic Halberd, Number 39: Utopia Double, ZS - Utopic Sage, Number F0: Utopic Future, Number F0: Utopic Future Slash, Hyper Rank-Up-Magic Utopiforce, Rank-Up-Magic Zexal Force, Xyz Change Tactics, Halfway to Forever",Number 39: Utopia,Hyper Rank-Up-Magic Utopiforce
Invulnerable Iron Wings,2022-01-19,256151,6403.77,"Raidraptor - Final Fortress Falcon, Raidraptor - Ultimate Falcon, Raidraptor - Arsenal Falcon, Raidraptor - Revolution Falcon - Air Raid, Raidraptor - Wise Strix, Raidraptor - Satellite Cannon Falcon, Raidraptor - Revolution Falcon, Raidraptor - Stranger Falcon, Raider's Knight, Raidraptor - Force Strix, Raidraptor - Tribute Lanius, Phantom Knights' Rank-Up-Magic Force, Raidraptor - Call, Raidraptor's Phantom Knights Claw",Raidraptor - Readiness,Raider's Unbreakable Mind
Fiendish Encounter,2022-01-19,230722,6408.94,"Beatrice, Lady of the Eternal, Dante, Traveler of the Burning Abyss, Cherubini, Ebon Angel of the Burning Abyss, Magical Musketeer Max, Dante, Pilgrim of the Burning Abyss, Magical Musket Mastermind Zakiel, Magical Musketeer Starfire, Farfa, Malebranche of the Burning Abyss, Graff, Malebranche of the Burning Abyss, Magical Musketeer Caspar, Scarm, Malebranche of the Burning Abyss, Magical Musket - Cross-Domination",The Traveler and the Burning Abyss,Magical Musket - Crooked Crown
Warp-Speed Toys,2022-01-19,256446,6411.15,"Crystal Wing Synchro Dragon, Clear Wing Fast Dragon, Clear Wing Synchro Dragon, Hi-Speedroid Chanbara, Hi-Speedroid Kitedrake, Hi-Speedroid Hagoita, Hi-Speedroid Puzzle, Speedroid CarTurbo, Speedroid Terrortop, Hi-Speedroid Rubber Band Shooter, Speed Recovery, Speedlift",Hi-Speedroid Kendama,Speedroid Block-n-Roll
Colossal Mech,2022-01-19,308664,6430.5,"CXyz Gimmick Puppet Fanatix Machinix, Gimmick Puppet Fantasix Machinix, Number 15: Gimmick Puppet Giant Grinder, Number 88: Gimmick Puppet of Leo, Gimmick Puppet Little Soldiers, Gimmick Puppet Chimera Doll, Rank-Up-Magic Argent Chaos Force, Number 9: Dyson Sphere, Number C15: Gimmick Puppet Giant Hunter, Number C40: Gimmick Puppet of Dark Strings, Number C88: Gimmick Puppet Disaster Leo, Gimmick Puppet Rouge Doll, Gimmick Puppet Bisque Doll, Number 40: Gimmick Puppet of Strings, Gimmick Puppet Gigantes Doll, Amphibious Swarmship Amblowhale, Mansion of the Dreadful Dolls, Marshalling Field",Number 15: Gimmick Puppet Giant Grinder,Gimmick Puppet Fiendish Knight
Blooming in Adversity,2022-01-19,258161,6454.02,"Teardrop the Rikka Queen, Aromaseraphy Sweet Marjoram, Rikka Queen Strenna, Aromaseraphy Jasmine, Tytannial, Princess of Camellias, Mudan the Rikka Fairy, Aromaseraphy Rosemary, Staysailor Romarin, Lonefire Blossom, Aromage Jasmine, Aroma Gardening, Rikka Glamour",Botanical Lion,Staysailor Romarin
Draconic Resplendence,2022-01-19,258772,6469.3,"Odd-Eyes Revolution Dragon, All-Eyes Phantom Dragon, Odd-Eyes Arc Pendulum Dragon, Odd-Eyes Pendulum Dragon, Sky Iris, Odd-Eyes Venom Dragon, Odd-Eyes Phantasma Dragon, Rune-Eyes Pendulum Dragon, Odd-Eyes Phantom Dragon, Odd-Eyes Raging Dragon, Performapal Skullcrobat Joker, Odd-Eyes Fusion, Spiral Flame Strike",Odd-Eyes Dragon,Pendulum Xyz
Dragon Spirit,2022-01-19,259052,6476.3,"Chaofeng, Phantom of the Yang Zing, Draco Berserker of the Tenyi, Denglong, First of the Yang Zing, Draco Masters of the Tenyi, Baxia, Brightness of the Yang Zing, Yazi, Evil of the Yang Zing, Jiaotu, Darkness of the Yang Zing, Tenyi Spirit - Sahasrara, Shaman of the Tenyi, Vessel for the Dragon Cycle, Nine Pillars of Yang Zing, Waterfall of Dragon Souls",Yang Zing Unleashed,Dracoon Lamp
Number Recall,2022-01-19,253813,6508.03,"Number iC1000: Numerounius Numerounia, Number C1000: Numerounius, Astral Kuriboh, Number 100: Numeron Dragon, Numbers Eveil, Numeron Network, Number 99: Utopic Dragon, Number 68: Sanaphond the Sky Prison, Number 11: Big Eye, Number 41: Bagooska the Terribly Tired Tapir, Number 60: Dugares the Timeless, Number C1: Numeron Chaos Gate Sunya, Numeron Wall, Rank-Up-Magic Astral Force",Number 20: Giga-Brilliant,Numbers Eveil
Dreadnought Advance,2022-01-19,262163,6554.07,"Superdreadnought Rail Cannon Juggernaut Liebe, Number 81: Superdreadnought Rail Cannon Super Dora, Superdreadnought Rail Cannon Gustav Max, Infinitrack Fortress Megaclops, Night Express Knight, Infinitrack Earth Slicer, Infinitrack River Stormer, Flying Pegasus Railroad Stampede, Number 27: Dreadnought Dreadnoid, Revolving Switchyard, Urgent Schedule, Barrage Blast","Digvorzhak, King of Heavy Industry",Heavy Forward
Those who Stand Against Kings,2022-01-19,270275,6592.07,"Crystron Quariongandrax, Zoodiac Drident, Heavymetalfoes Electrumite, Zoodiac Barrage, Metalfoes Vanisher, Crystron Phoenix, Parametalfoes Azortless, Crystron Sulfefnir, Zoodiac Ratpier, Zoodiac Thoroughblade, Crystron Citree, Fullmetalfoes Alkahest, Metalfoes Fusion",Metalfoes Counter,Parametalfoes Fusion
Natural Selection,2022-01-19,264221,6605.52,"Crimson Nova Trinity the Dark Cubic Lord, Crimson Nova the Dark Cubic Lord, Predaplant Chimerafflesia, Predaplant Verte Anaconda, Greedy Venom Fusion Dragon, Predaplant Triphyoverutum, Predaplant Dragostapelia, Starving Venom Fusion Dragon, Duza the Meteor Cubic Vessel, Predaplant Ophrys Scorpio, Cubic Dharma, Cubic Karma",Duza the Meteor Cubic Vessel,Predaplant Verte Anaconda
Guided by the Noble Blade,2022-01-19,265779,6644.48,"Infernoble Knight Emperor Charles, Ignoble Knight of High Laundsallyn, Sacred Noble Knight of King Artorigus, Sacred Noble Knight of King Custennin, Isolde, Two Tales of the Noble Knights, Infernoble Knight Captain Oliver, Artorigus, King of the Noble Knights, Infernoble Knight Ogier, Noble Knight Borz, Noble Knight Drystan, Noble Knight Medraut, Morgan, the Enchantress of Avalon, Infernoble Knight - Renaud, Heritage of the Chalice",Noble Arms - Arfeudutyr,Infernoble Knight Captain Oliver
Secret Fighters,2022-01-19,219600,6654.55,"Super Quantal Mech King Great Magnus, Super Quantum Red Layer, SPYRAL Super Agent, SPYRAL Double Helix, SPYRAL Sleeper, SPYRAL Master Plan, Super Quantal Mech Beast Lusterrex, Super Quantal Mech Beast Magnaliger, SPYRAL GEAR - Drone, SPYRAL Quik-Fix, Neo Super Quantal Mech King Blaster Magna, SPYRAL Resort",Super Quantal Mech Sword - Magnaslayer,Super Quantal Union - Magnaformation
Indomitable Knights,2022-01-19,281007,6690.64,"Odd-Eyes Rebellion Xyz Dragon, Odd-Eyes Rebellion Dragon Overlord, Odd-Eyes Pendulum Dragon, Arc Rebellion Xyz Dragon, Dark Requiem Xyz Dragon, Dark Rebellion Xyz Dragon, The Phantom Knights of Rusty Bardiche, Supreme King Dragon Starving Venom, Raider's Knight, The Phantom Knights of Ancient Cloak, The Phantom Knights of Break Sword, The Phantom Knights of Silent Boots, Phantom Knights' Rank-Up-Magic Force, Raidraptor's Phantom Knights Claw, The Phantom Knights of Shade Brigandine",Odd-Eyes Pendulum Dragon,Odd-Eyes Rebellion Xyz Dragon
Fires of This World and The Next,2022-01-19,268172,6704.3,"Shiranui Sunsaga, Yoko, the Graceful Mayakashi, Yuki-Onna, the Absolute Zero Mayakashi, Shiranui Skillsaga Supremacy, Gashadokuro, the Skeletal Mayakashi, Gozuki, Mezuki, Shutendoji, Dakki, the Graceful Mayakashi, Hajun, the Winged Mayakashi, Yuki-Onna, the Ice Mayakashi, Mayakashi Return","Goka, the Pyre of Malice",Mayakashi Mayhem
Seedling Soul Fey,2022-01-19,275240,6713.17,"Alsei, the Sylvan High Protector, Sunavalon Dryatrentiay, Sunavalon Melias, Sylvan Dancepione, Sylvan Charity, Orea, the Sylvan High Arbiter, Meliae of the Trees, Sylvan Princessprite, Benghalancer the Resurgent, Sunavalon Dryanome, Sunavalon Daphne, Sunvine Thrasher, Mount Sylvania",Meliae of the Trees,Sylvan Dancepione
Cosmic Mechanical Entities,2022-01-19,274095,6852.38,"Knightmare Gryphon, Knightmare Unicorn, Knightmare Unicorn, Mekk-Knight Spectrum Supreme, Knightmare Goblin, X-Krawler Qualiark, Knightmare Mermaid, Mekk-Knight Purple Nightfall, Mekk-Knight Blue Sky, Knightmare Corruptor Iblee, Knightmare Cerberus, Knightmare Phoenix, Mekk-Knight of the Morning Star, X-Krawler Neurogos, X-Krawler Synaphysis",Krawler Receptor,Crusadia Krawler
Tournament Athletes,2022-01-19,254055,6866.35,"U.A. Player Manager, U.A. Playmaker, F.A. Dawn Dragster, F.A. Shining Star GT, F.A. Motorhome Transport, F.A. Dark Dragster, U.A. Libero Spiker, U.A. Midfielder, F.A. Auto Navigator, U.A. Hyper Stadium, U.A. Locker Room",U.A. Penalty Box,U.A. Man of the Match
Roused from Destruction,2022-01-19,55070,6883.75,"Abominable Unchained Soul, Cerulean Sacred Phoenix of Nephthys, Unchained Soul of Disaster, Fire King Avatar Yaksha, Conductor of Nephthys, Unchained Soul of Anguish, Unchained Soul of Rage, Circle of the Fire Kings",Circle of the Fire Kings,Conductor of Nephthys
Primordial Rising,2022-01-19,276086,6902.15,"Triamid Sphinx, Fossil Warrior Skull King, Paleozoic Cambroraster, Fossil Fusion, Fossil Dragon Skullgios, Fossil Machine Skull Convoy, Fossil Warrior Skull Knight, Fossil Dyna Pachycephalo, Doki Doki, Paleozoic Anomalocaris, Paleozoic Opabinia, Time Stream",Fossil Dyna Pachycephalo,Triamid Loading
The Darkness Amuses,2022-01-19,279413,6985.32,"Abyss Actor - Evil Heel, Abyss Actor - Superstar, Abyss Actor - Mellow Madonna, Amazement Administrator Arlekino, Abyss Actor - Leading Lady, Abyss Actor - Wild Hope, Amazement Attendant Comica, Abyss Actor - Hyper Director, Abyss Playhouse - Fantastic Theater, Abyss Script - Rise of the Abyss King, Amazing Time Ticket, Amaze Attraction Cyclo-Coaster",Jester Lord,Amaze Attraction Viking Vortex
Moonlit Avian Dance,2022-01-19,237625,6988.97,"Lunalight Leo Dancer, Lunalight Sabre Dancer, Lyrilusc - Ensemblue Robin, Lyrilusc - Recital Starling, Lunalight Panther Dancer, Lunalight Tiger, Lyrilusc - Assembled Nightingale, Lyrilusc - Celestine Wagtail, Lyrilusc - Independent Nightingale, Lyrilusc - Promenade Thrush, Lunalight Fusion, Lyrilusc - Bird Call",Lunalight Reincarnation Dance,Wing Requital
Interdimensional Interlopers,2022-01-19,281613,7040.32,"Archnemeses Protos, Metaphys Executor, Oneiros, the Dream Mirror Erlking, Oneiros, the Dream Mirror Tormentor, Dream Mirror Hypnagogia, Archnemeses Eschatos, Metaphys Horus, Metaphys Ragnarok, Ikelos, the Dream Mirror Mara, Ikelos, the Dream Mirror Sprite, Asymmetaphys, Dream Mirror of Joy, Dream Mirror of Terror",Shadow-Imprisoning Mirror,Dream Mirror Recap
